name,region,province
Braambos Primary School,Makhado,Limpopo
Brussels Ngoako Primary School,Polokwane,Limpopo
Buffelsvallei Combined School,Greater Groblersdal,Limpopo
Bungeni Primary School,Elim,Limpopo
Burgersdorp Junior Secondary,Burgersdorp,Limpopo
Burgwal Primary School,Polokwane,Limpopo
Butshwana,Moetladimo,Limpopo
Bvuma Primary School,Giyani,Limpopo
Byldrift Primary,Polokwane,Limpopo
C.M. Sehlapelo,Seshego,Limpopo
Calais Secondary School,Trichardtsdal,Limpopo
Caledon  Primary,Vongani,Limpopo
Calvin College,Burgersfort,Limpopo
Capricorn High,Polokwane,Limpopo
Cata Senior Secondary,Letsitele,Limpopo
Centauri Combined School,Thoronou,Limpopo
Ceres Primary School,Juno,Limpopo
Chakga Sen Sec School,Polokwane,Limpopo
Chamandu High,Giyani,Limpopo
Chameti High School,Giyani,Limpopo
Champions Combined Academy,Makhado,Limpopo
Chanyela Primary School,Malamulele,Limpopo
Charles Marakalala Secondary School,Buysdorp,Limpopo
Charles Mathonsi Sen. Secondary School,Letaba,Limpopo
Charlie Rhangani Primary,Giyani,Limpopo
Chavani  Primary ,Makhado,Limpopo
Chechema Secondary School,Polokwane,Limpopo
Chidi Combined School,Lebowakgomo,Limpopo
Chika Secondary School,Polokwane,Limpopo
Chita Kekana Secondary,Zebediela,Limpopo
Chloe Primary School,Polokwane,Limpopo
Chokwe,Polokwane,Limpopo
Chris Hani Primary,Mokopane,Limpopo
Chris Hani Primary School,Mokopane,Limpopo
Chris Hofmeyr Primary School,Eerstegoud,Limpopo
Christ The King Academy,Paledigamothapo,Limpopo
Christian Achievers Academy,Polokwane,Limpopo
Chrome Mine Primary,Chromite,Limpopo
Chuchekani Primary School,Lulekani,Limpopo
Chueuekgolo Secondary School,Polokwane,Limpopo
Chumana Primary School,Mahwelereng,Limpopo
Clermont Primary School,Bakenberg,Limpopo
Comprehensive Riverside Technical School,Glencowie,Limpopo
Comprehensive Trinity Academy,Soutpansberg,Limpopo
Con Roux Primary School,Marble Hall,Limpopo
Cornelius Masibe Primary School,Mokopane,Limpopo
Cracouw Primary School,Polokwane,Limpopo
Craighead Primary School,Tzaneen,Limpopo
Curro Heuwelkruin,Polokwane,Limpopo
Cvo Gromar Landbou Akademie,Greater Groblersdal,Limpopo
Cvo Marmer ,Marblehall,Limpopo
Cvo Potgietersrus,Mokopane,Limpopo
Cvo Skool Vivo,Makhado,Limpopo
Cvo Skool Zoutpansberg,Makhado,Limpopo
D.G. Tsebe,Mokopane,Limpopo
Dagbreek Primary School,Nylstroom,Limpopo
Damani Primary,Makhado,Limpopo
Dambale Primary School,Sagole,Limpopo
Dambalwashe Primary School,Shayadima,Limpopo
Dambavhusha,Makhado,Limpopo
Dan Primary School,Letaba,Limpopo
David Luvhimba Secondary,Makhado,Limpopo
David Mutshinyalo Secondary School,Thohoyandou,Limpopo
David Nkoana Primary,Polokwane,Limpopo
De Hoop Primary,Masia,Limpopo
De Montfort Catholic School,Makhado,Limpopo
Deelkraal Primary School,Soekmekaar,Limpopo
Deeside Combined,Letsitele,Limpopo
Dendron Primary School,Dendron,Limpopo
Dendron Secondary School,Dendron,Limpopo
Denga Secondary School,Makhado,Limpopo
Denga Tshivhase Secondary School,Makhado,Limpopo
Dengenya Secondary School,Makhado,Limpopo
Dennis Matlhaba Ii Senior Secondary School,Bakenberg,Limpopo
Denzhe Primary School,Tshifudi,Limpopo
Deo Gloria Primary School,Thabazimbi,Limpopo
Derek Kobe Senior Secondary School,Lebowakgomo,Limpopo
Dewagendrift Combined School,Greater Groblersdal,Limpopo
Diakganya Primary School,Polokwane,Limpopo
Diammona Secodary School,Lephalale,Limpopo
Dibathuto Secondary School,Dennilton,Limpopo
Dibeng Primary School,Polokwane,Limpopo
Dididi Primary School,Makhado,Limpopo
Dihlabakela Secondary School,Driekop,Limpopo
Dihlabaneng Primary School,Schoonoord,Limpopo
Dihlopaneng .P. School,Polokwane,Limpopo
Dikankatla Primary,Greater Groblersdal,Limpopo
Diketepe  Primary  School,Burgersfort,Limpopo
Dikgabje Primary,Janefurse,Limpopo
Dikgageng,Janefurse,Limpopo
Dikgalaopeng Primary School,Greater Groblersdal,Limpopo
Dikgathlong Primary School,Burgersfort,Limpopo
Dikgeu Primary School,Polokwane,Limpopo
Dikgoale Primary School,Polokwane,Limpopo
Dikgopheng Primary School,Polokwane,Limpopo
Dikobe-Molaba  Sec School,Polokwane,Limpopo
Dikolobe Primary School,Mankweng,Limpopo
Dikoloi Secondary School,Polokwane,Limpopo
Dikotope Secondary,Burgersfort,Limpopo
Dikubu Primary School,Naboomspruit,Limpopo
Dikwata Primary School,Burgersfort,Limpopo
Dikwetse Primary,Glencowie,Limpopo
Dimani Agricultural High School,Shayadima,Limpopo
Dimbanyika Secondary School,Nzhelele West,Limpopo
Dimo Secondary School,Greater Groblersdal,Limpopo
Dimpe Secondary,Lephalale,Limpopo
Dinakanyane Secondary School,Sekhukhune,Limpopo
Dinao Secondary School,Polokwane,Limpopo
Dingamanzi Primary School,Giyani,Limpopo
Dinkwanyane,Ohrigstad,Limpopo
Dinoko Primary School,Polokwane,Limpopo
Dinotsi Primary School,Janefurse,Limpopo
Diopong Primary School,Sovenga,Limpopo
Dipakapakeng Primary School,Polokwane,Limpopo
Diphala Primary School,Burgersfort,Limpopo
Diphale Secondary,Apel,Limpopo
Diphuti Primary,Hoedspruit,Limpopo
Dipitsi Primary,Ohrigstad,Limpopo
Dipofung Primary School,Gompies,Limpopo
Dipone Senior Secondary,Trichardtsdal,Limpopo
Dipuwe Primary,Polokwane,Limpopo
Diretsaneng Primary School,Mokopane,Limpopo
Ditatsu Primary School,Polokwane,Limpopo
Dithabaneng Primary,Polokwane,Limpopo
Dithamaga Primary School,Steelpoort,Limpopo
Dithamaga Senior Secondary,Dennilton,Limpopo
Dithebele Secondary School,Polokwane,Limpopo
Ditheku Primary,Enkelbult,Limpopo
Dithothwaneng,Polokwane,Limpopo
Ditlalemeso Secondary School,Sovenga,Limpopo
Ditlhakaneng Primary School,Gompies,Limpopo
Ditlotswane Primary School,Bakenberg,Limpopo
Ditlou Primary School,Rebone,Limpopo
Ditsepu  Senior Secondary,Polokwane,Limpopo
Divhani Primary,Dzanani,Limpopo
Divine Kingdom Academy,Thohoyandou,Limpopo
Djate  Primary,Polokwane,Limpopo
Djunane Primary School,Elim,Limpopo
Dlamani,Malamulele,Limpopo
Dlamini Primary School,Janefurse,Limpopo
Doasho Senior Secondary School,Sovenga,Limpopo
Doli Doli Primary School,Dzanani,Limpopo
Domboni Primary School,Sagole,Limpopo
Doornspruit Primary School,Polokwane,Limpopo
Doreen Bridge Combined School,Musina,Limpopo
Dorothy Langa Primary School,Seshego,Limpopo
Dovho  Primary  School,Masisi,Limpopo
Dovhoni Primary School,Phiphidi,Limpopo
Dr A M S Makunyane Secondary School,Polokwane,Limpopo
Dr Dixon Mphahlele Primary School,Lebowakgomo,Limpopo
Dr Pallo Jordan Primary School,Galebelo,Limpopo
Driehoek Primary School,Tzaneen,Limpopo
Dududu Primary School,Nkowankowa,Limpopo
Dulang Primary School,Molototsi,Limpopo
Dumani Primary Schiool,Vuyani,Limpopo
Dumazi High School,Giyani,Limpopo
Dumazi_Primary School,Mahwelereng,Limpopo
Dumela High School,Ofcolaco,Limpopo
Duvhuledza Primary School,Tshaulu,Limpopo
Duvula-Mahuntsi High School,Vuyani,Limpopo
Dwaalboom Primary,Dwaalboom,Limpopo
Dyelamanavha Secondary School,Mutale,Limpopo
Dynamique Primary School,Greater Groblersdal,Limpopo
Dynamique Private High,Middelburg,Limpopo
Dzamba Primary School,Dzimauli,Limpopo
Dzanani Lower Primary ,Nzhelele West,Limpopo
Dzata Secondary,Nzhelele West,Limpopo
Dzimauli Secondary School,Musina,Limpopo
Dzindi Primary School,Shayadima,Limpopo
Dzingahe  Primary School,Makhado,Limpopo
Dzivhani Primary,Sibasa,Limpopo
Dzj Mtebule Secondary,Nkowankowa,Limpopo
Dzondo Primary,Thohoyandou,Limpopo
Dzumbuluwani Primary,Fondwe,Limpopo
Dzumeri Primary  School,Giyani,Limpopo
Dzwaboni Secondary School,Makhado,Limpopo
Dzwerani Primary,Lwamondo,Limpopo
E A Davidson,Vaalwater,Limpopo
E.D.L Rampola,Mahwelereng,Limpopo
Eagle'S Nest Christian School,Polokwane,Limpopo
Ebenezer High School,Mahwelereng,Limpopo
Eden Christian,Warmbaths,Limpopo
Edson Nesengani,Vuwani,Limpopo
Educare Primary School,Tzaneen,Limpopo
Edward  Mpfuneni  Primary  School ,Vuwani,Limpopo
Edward Homu Secondary,Giyani,Limpopo
Edzisani Primary School,Makhado,Limpopo
Ehieketani Primary,Lulekani,Limpopo
Eiland Primary,Potgietersrus,Limpopo
Ekele Primary,Masemola,Limpopo
Ekucathuleni Primary School,Dennilton,Limpopo
Elandskraal Primary,Marblehall,Limpopo
Elias Masango Primary School,Greater Groblersdal,Limpopo
Elica Primary School,Polokwane,Limpopo
Elim High,Elim,Limpopo
Elim Primary School,Elim,Limpopo
Elshadai School,Marblehall,Limpopo
Eltivillas Primary School,Makhado,Limpopo
Emarambeni Junior Secondary School,Buysdorp,Limpopo
Ematholeni Primary School,Burgersfort,Limpopo
Emazweni Junior Primary School,Seleka,Limpopo
Embhokodweni Combined  School,Greater Groblersdal,Limpopo
Emmanuel Christian School,Makhado,Limpopo
Epp Mhinga High ,Malamulele,Limpopo
Eprhaim Mogale,Marble Hall,Limpopo
Ernest Matlou Primary,Polokwane,Limpopo
Esau Mosedame Primary School,Polokwane,Limpopo
Esmefour Primary,Musina,Limpopo
Esther Maleka Comprehensive High School,Marblehall,Limpopo
Et Thabane Primary School,Burgersfort,Limpopo
Euphorbia Christelike Onafhanklike Skool,Mookgopong,Limpopo
Eureka Primary School,Polokwane,Limpopo
Excelsior  College,Marblehall,Limpopo
Excelsus Academy,Steelpoort,Limpopo
F .K. Tjiane Senior Phase,Dennilton,Limpopo
Fairfield Primary,Thabazimbi,Limpopo
Famandha High School,Giyani,Limpopo
Fandani   Primary  School,Makuya,Limpopo
Fauna Park Primary ,Phalaborwa,Limpopo
Favasi Primary ,Nwamitwa,Limpopo
Faza Primary School ,Giyani,Limpopo
Fedile High School,Polokwane,Limpopo
Fefe Primary School,Mutale,Limpopo
Feke Primary School,Polokwane,Limpopo
Femane,Kgapane,Limpopo
Fetakgomo   High  ,Pietersburg,Limpopo
Fhatuwani Secondary School,Makhado,Limpopo
Fhembeledzani Primary School,Makhado,Limpopo
Flag Boshielo Primary,Marblehall,Limpopo
Florapark Comprehensive Hig School,Florapark,Limpopo
Florapark Comprehensive Primary School,Polokwane,Limpopo
Fobeni High,Tzaneen,Limpopo
Fofoza Primary ,Nwamitwa,Limpopo
Folovhodwe Primary School,Musina,Limpopo
Fondwe Primary School,Fondwe,Limpopo
Foskor Primary School,Namakgale,Limpopo
France Sombhani Secondary School,Malamulele,Limpopo
Francis English Medium School,Lulekani,Limpopo
Frank Mashile Secondary School,Gankwana,Limpopo
Frank Mukhwaswakule Primary,Mashau,Limpopo
Frank Ravele Secondary School,Dzimauli,Limpopo
Frans Du Toit,Phalaborwa,Limpopo
Frans Rasimphi Secondary ,Thilapala,Limpopo
Fred Ledwaba Secondary School,Mokopane,Limpopo
Fumani Primary,Malamulele,Limpopo
Funzwani Secondary School,Tshifudi,Limpopo
Fuyatha Primary School,Giyani,Limpopo
G0G0G0 Primary School,Dzimauli,Limpopo
Gaba  Primary School,Tshaulu,Limpopo
Gadabi  Primary   School,Nzhelele West,Limpopo
Galakwinstroom,Mogalakwena,Limpopo
Galananzhele Primary School,Tshidinbini,Limpopo
Gammalebese Primary School,Greater Groblersdal,Limpopo
Gangadza Secondary,Burgersfort,Limpopo
Ganyane Primary,Tshakhuma,Limpopo
Gaopotlake Secondary,Polokwane,Limpopo
Gareagopola Primary School,Nebo,Limpopo
Gateway Primary,Musina,Limpopo
Gauta Jonathan Primary School,Zebediela,Limpopo
Gavaza Primary School,Shiluvane,Limpopo
Gawula High,Giyani,Limpopo
Gaza Lower Primary School,Namakgale,Limpopo
Gebhundlovu Primary School,Polokwane,Limpopo
George Clifford Primary,Marishane,Limpopo
George Hasani Primary,Malamulele,Limpopo
George Langa High School,Bakenberg,Limpopo
George Masibe High,Marken,Limpopo
George Mbulaheni Sec. School,Dzanani,Limpopo
George Moragula Secondary,Polokwane,Limpopo
George Mswazi High School,Khomanani,Limpopo
George Sonto High School,Malemulele,Limpopo
George Tladi Technical High School,Polokwane,Limpopo
Georgenholtz Primary,Makhado,Limpopo
Gerson Ntjie,Polokwane,Limpopo
Gidela Secondary,Vuyani,Limpopo
Gidjana Secondary ,Malamulele,Limpopo
Gija Primary,Khomanani,Limpopo
Gija-Ngove Senior Secondary School,Giyani,Limpopo
Gilbert Mulondo Primary School,Fondwe,Limpopo
Gilbert Nndanganeni Primary School,Makhado,Limpopo
Gingirikani Higher Primary School,Malamulele,Limpopo
Giva Mahlathi Secondary,Giyani,Limpopo
Given Mangolo,Suswe,Limpopo
Giyani College Of Technology And Management ,Giyani,Limpopo
Giyani Comprehensive School,Giyani,Limpopo
Giyani High School,Giyani,Limpopo
Glen Cowie Secondary School,Greater Groblersdal,Limpopo
Glenshiel Primary School,Tzaneen,Limpopo
Gobela High School,Mahwelereng,Limpopo
Gobetse Secondary School,Steelpoort,Limpopo
Godwin Masibe Primary School,Mokopane,Limpopo
Gogobole_Primary,Makhado,Limpopo
Gojela High School,Mokopane,Limpopo
Gole Secondary School,Makhado,Limpopo
Gombani Primary,Dzanani,Limpopo
Gonani Primary ,Saselemane,Limpopo
Gondolikhethwa Christian School,Makhado,Limpopo
Gonela Primary School,Tshifudi,Limpopo
Good Hope Primary School,Tshipese,Limpopo
Good Hope Secondary School,Greater Groblersdal,Limpopo
Good Shepherd,Steelpoort,Limpopo
Good Shepherd Christian School,Steelpoort,Limpopo
Good Shepherd Model School,Marblehall,Limpopo
Goodhope Primary School,Tshipese,Limpopo
Goodshepherd Primary School,Polokwane,Limpopo
Gooldville Mission School,Makhado,Limpopo
Goshetseng Primary School,Marblehall,Limpopo
Govani Primary School,Giyani,Limpopo
Govhu Primary,Malamulele,Limpopo
Govhu Secondary,Malamulele,Limpopo
Gowe Primary School,Burgersfort,Limpopo
Grace Park Combined School,Makhado,Limpopo
Graceland Combined School,Polokwane,Limpopo
Groblersdal Academy ,Greater Groblersdal,Limpopo
Groblersdal Christian School,Middelburg,Limpopo
Groenvlei Secondary School,Thabazimbi,Limpopo
Grysappel Combined School,Tzaneen,Limpopo
Gumani Technical High,Makhado,Limpopo
Gumbu Primary,Thohoyandou,Limpopo
Gunda Primary ,Matidze,Limpopo
Gundani Primary,Matavhela,Limpopo
Guvhukuvhu Secondary School,Sibasa,Limpopo
Guwela Senior Primary School,Malamulele,Limpopo
Guyuni Primary School,Matavhela,Limpopo
Gwamasenga Secondary,Lwamondo,Limpopo
Gwambeni High,Xihoko,Limpopo
Gwara-Gwara Combined School,Polokwane,Limpopo
Gwenane Secondary School,Potgietersrus,Limpopo
H S Phillips,Elim,Limpopo
H.H  Thiele Primary  School,Hoedspruit,Limpopo
H/S Piet Potgieter ,Mokopane,Limpopo
Haaka Primary,Nwamanungu,Limpopo
Hadashah Learning Centre,Polokwane,Limpopo
Haenertsburg Primary School,Tzaneen,Limpopo
Haggai Independent School,Maniini,Limpopo
Hakala Primary School,Polokwane,Limpopo
Ham No 1 Primary School,Limburg,Limpopo
Hamutsha Primary School,Lwamondo,Limpopo
Hanani Primary,Tshimbupfe,Limpopo
Hangalakani Primary,Saselemane,Limpopo
Hangklip Akademie,Louistrichardt,Limpopo
Hans Komane  Secondary,Polokwane,Limpopo
Hans Masibe Prmary School,Mokopane,Limpopo
Hanyani Secondary School,Sagole,Limpopo
Hanyani Thomo Secondary,Giyani,Limpopo
Hanyani-Nkuzana High School,Khomanani,Limpopo
Hanyanyani Primary School,Giyani,Limpopo
Happy Day Combined School,Polokwane,Limpopo
Harry Oppenheimer Agric High School,Polokwane,Limpopo
Hasani Lawrence S.Primary,Malamulele,Limpopo
Hasani Mninginisi Secondary School,Giyani,Limpopo
Hasani Primary,Vuwani,Limpopo
Hatlani Muyexe High,Giyani,Limpopo
Hatshama Primary,Giyani,Limpopo
Hawuka High School,Giyani,Limpopo
Hebron Model School,Mokopane,Limpopo
Hector Peterson Primary,Nylstroom,Limpopo
Helmeg Academy,Tzaneen,Limpopo
Hendrick Nthambeleni Sec School,Nzhelele West,Limpopo
Hermain,Thohoyandou,Limpopo
Hetiseka Secondary School,Nwamitwa,Limpopo
Heuningvlei Primary School,Thabazimbi,Limpopo
Heyshope Primary School,Tshipese,Limpopo
High Quality Science And Business Institution,Giyani,Limpopo
Hillside Combined School,Makhado,Limpopo
Hillside Park Primary School,Polokwane,Limpopo
Hilmary Learning Centre,Thohoyandou,Limpopo
Hinkhensile High School,Giyani,Limpopo
Hipambukile Primary,Giyani,Limpopo
Hisekelani Primary,Saselemane,Limpopo
Hitekani Primary ,Saselemane,Limpopo
Hivuyeriwile Commercial High School,Giyani,Limpopo
Hlabana Primary School,Polokwane,Limpopo
Hlabi,Greater Groblersdal,Limpopo
Hlabje Primary School,Greater Groblersdal,Limpopo
Hlagatse,Polokwane,Limpopo
Hlahlana Primary School,Burgersfort,Limpopo
Hlakanang Primary School,Burgersfort,Limpopo
Hlakheto Primary School,Giyani,Limpopo
Hlakudi Primary School,Greater Groblersdal,Limpopo
Hlalelani Primary School,Makhado,Limpopo
Hlaluko High School,Malamulele,Limpopo
Hlalukweni High School,Malamulele,Limpopo
Hlaneki Primary,Giyani,Limpopo
Hlapogadi Primary School,Burgersfort,Limpopo
Hlawulekani Primary School,Malamulele,Limpopo
Hlayisanani Primary School,Giyani,Limpopo
Hleketani Primary School,Warmbad,Limpopo
Hlengani Primary ,Saselemane,Limpopo
Hlogotlou Lower Primary School,Greater Groblersdal,Limpopo
Hlohlodi Primary School,Polokwane,Limpopo
Hlomela Secondary School,Giyani,Limpopo
Hlong Primary School,Burgersfort,Limpopo
Hlopha Primary School,Greater Groblersdal,Limpopo
Hlovani Secondary,Giyani,Limpopo
Hluvuka High School,Elim,Limpopo
Ho?rskool Ben Viljoen,Greater Groblersdal,Limpopo
Ho?rskool Ellisras,Ellisras,Limpopo
Ho?rskool Frikkie Meyer,Thabazimbi,Limpopo
Ho?rskool Hans Strijdom,Potgietersrus,Limpopo
Ho?rskool Marais Viljoen,Buysdorp,Limpopo
Ho?rskool Noorderland,Polokwane,Limpopo
Ho?rskool Pietersburg,Polokwane,Limpopo
Ho?rskool Warmbad,Warmbaths,Limpopo
Ho?rskool Wolmaransstad,Buysdorp,Limpopo
Hoedspruit Christian School,Hoedspruit,Limpopo
Hoerskool Eric Louw,Musina,Limpopo
Hoji Senior Primary School,Malamulele,Limpopo
Hola-Pondo High School,Giyani,Limpopo
Holy Rosary Independent Combined School,Malamulele,Limpopo
Honoka Combined,Giyani,Limpopo
Honoko Primary,Sekhukhune,Limpopo
Hoopdal Primary School,Podiphatshwa,Limpopo
Hope English Medium School,Hoedspruit,Limpopo
Hope Primary ,Tshipese,Limpopo
Hopefield  Primary  School,Marishane,Limpopo
Hosea Mochemi P/School,Polokwane,Limpopo
Hosea Ntsoane,Seshego,Limpopo
Hosia Aphane Combined School,Dennilton,Limpopo
Hovheni Primary,Shiluvane,Limpopo
Hudson Ntsanwisi S S School,Nkowankowa,Limpopo
Huelereng Primary School,Polokwane,Limpopo
Humbelani Secondary,Vhulaudzi,Limpopo
Humula Secondary School,Malamulele,Limpopo
Hututu Secondary School ,Marblehall,Limpopo
Hwibi Primary School,Polokwane,Limpopo
Hwiti High School,Sovenga,Limpopo
Ikageleng Makobe Primary,Polokwane,Limpopo
Ikageleng Primary School,Polokwane,Limpopo
Ikhutseng Primary,Greater Groblersdal,Limpopo
Ikhutseng Primary School,Greater Groblersdal,Limpopo
Ikhwezi Lokusa Primary School,Burgersfort,Limpopo
Immerpan Primary,Marblehall,Limpopo
Imvuselelo Primary School,Babirwa,Limpopo
Indie Primary,Polokwane,Limpopo
Ipopeng  Sen  Sec  School,Polokwane,Limpopo
Istores Primary School,Thabazimbi,Limpopo
Ithuteng Lower Primary School,Potgietersrus,Limpopo
Itielene Primary School,Polokwane,Limpopo
Itirele  Primary School,Burgersfort,Limpopo
Itireleng Primary,Polokwane,Limpopo
Itireleng Secondary School,Rooiberg,Limpopo
Itshomeleng,Soekmekaar,Limpopo
Itsoseng Primary,Burgersfort,Limpopo
Itsoseng Primary  School,Burgersfort,Limpopo
It-Today Combined School,Sibasa,Limpopo
Izikhali Zemfundo Secondary School,Greater Groblersdal,Limpopo
J.H Moloto,Polokwane,Limpopo
J.K. Tabane,Polokwane,Limpopo
J.M. Gwangwa Senior Secondary,Bakenberg,Limpopo
J.R Tshikalange Primary School,Thohoyandou,Limpopo
J.S Masisi Primary School,Masisi,Limpopo
Jabez Christian Academy,Polokwane,Limpopo
Jack Lavhengwa,Fondwe,Limpopo
Jack Mashamba Primary School,Molati,Limpopo
Jack Morare Primary School,Greater Groblersdal,Limpopo
Jacob  Zuma  Primary,Vuyani,Limpopo
Jacob Langa Lower Primary,Lephalale,Limpopo
Jacob Magamana Junior Secondary School,Letsitele,Limpopo
Jacob Marwale Primary,Polokwane,Limpopo
Jacob Puka,Motlhotlo,Limpopo
Jacob Sefako Primary School,Greater Groblersdal,Limpopo
Jafta Lower Primary,Greater Groblersdal,Limpopo
Jaji Secondary,Khomanani,Limpopo
Jakamene Primary School,Mahwelereng,Limpopo
Jamela Primary,Modjadjiskloof,Limpopo
Jan Malebana Primary School,Mokopane,Limpopo
Jane Furse Comprehensive School,Janefurse,Limpopo
Jawejawe Secondary School,Mashashane,Limpopo
Jeppe,Polokwane,Limpopo
Jesus Is Lord Christian School,Moteti,Limpopo
Jilongo,Malamulele,Limpopo
Jim Chavani High School,Saselemane,Limpopo
Jim Masindi Primary,Munzhedzi,Limpopo
Jim Rhangani Secondary,Giyani,Limpopo
Jim Tshivhonelo Primary,Thohoyandou,Limpopo
Jim Yingwani High School,Malamulele,Limpopo
Jinnah Park Primary School,Belabela,Limpopo
Jj Dreyer Prim?re Skool,Prieska,Limpopo
Joas Phahlela Primary ,Makuleke,Limpopo
Joe Mabedlhe,Vongani,Limpopo
Joel Sibasa Secondary School,Polokwane,Limpopo
Johannes Masibe Primary,Mokopane,Limpopo
Johannes Mulambilu Secondary School,Vhulaudzi,Limpopo
Johannes Ramavhoya Secondary School,Mulenzhe,Limpopo
John Manganyi,Lebelo,Limpopo
John Marubini,Phiphidi,Limpopo
John Mbhedlhe Secondary,Malamulele,Limpopo
John Molokomme Primary School,Polokwane,Limpopo
John Mutheiwana,Vuwani,Limpopo
John Nrimba Primary School,Kalkspruit,Limpopo
John Petro Secondary School,Mokopane,Limpopo
Jonas Lesetja Ledwaba Primary,Maraba,Limpopo
Jonas Mantjiu Commercial High School,Mashashane,Limpopo
Jonathan Mushaathama Sec School,Dzanani,Limpopo
Jonathan Thifulufhelwi Secondary School,Sinthumule,Limpopo
Jordan Primary,Galebelo,Limpopo
Joseph Maenetja Jp School,Lenyenye,Limpopo
Js Mukununde Primary School,Sagole,Limpopo
Jubana Secondary School,Zebediela,Limpopo
Julius Sec School,Vuwani,Limpopo
Jumbo Progress Combined School,Thohoyandou,Limpopo
K.K.Monare  Primary,Marken,Limpopo
Kaalleegte Primary,Potgietersrus,Limpopo
Kabela Secondary School,Lonsdale,Limpopo
Kabelo Combined School,Polokwane,Limpopo
Kabishi Primary,Burgersfort,Limpopo
Kaitswe Combined  School,Dennilton,Limpopo
Kalafong Primary School,Greater Groblersdal,Limpopo
Kalakeng Primary,Marblehall,Limpopo
Kanama Secondary,Burgersfort,Limpopo
Kanana,Polokwane,Limpopo
Kanana Secondary School,Polokwane,Limpopo
Kaputla Nkoana Primary,Polokwane,Limpopo
Karabi Secondary School,Lonsdale,Limpopo
Karel Nngigideni  Primary  School,Hamakuya,Limpopo
Katane Primary School,Polokwane,Limpopo
Katang Primary School,Kedketitse,Limpopo
Katekani Primary School,Giyani,Limpopo
Katisi  Primary  School,Kediketse,Limpopo
Katudi Primary School,Glencowie,Limpopo
Kau - Magana Primary School,Dennilton,Limpopo
Kawene Higher Primary School,Polokwane,Limpopo
Kawusime Primary School,Greater Groblersdal,Limpopo
Kayanene Primary,Giyani,Limpopo
Kediketse Primary,Kediketse,Limpopo
Kedishi Secondary School,Polokwane,Limpopo
Kelekese Sen. Secondary,Tzaneen,Limpopo
Kenneth Masekela Primary School,Dennilton,Limpopo
Kesarona Primary School,Thabazimbi,Limpopo
Ketlanijuniorprimary School,Valdezia,Limpopo
Ketudi Secondary School,Polokwane,Limpopo
Kgaba Secondary School,Potgietersrus,Limpopo
Kgabagare H.P. School,Mokopane,Limpopo
Kgabedi,Treves,Limpopo
Kgabetli Primary,Mahwelereng,Limpopo
Kgabo Park Primary School,Bushbuckrige,Limpopo
Kgabo Senior Secondary,Polokwane,Limpopo
Kgadimo Secondary School,Polokwane,Limpopo
Kgaga -Tlou Secondary School,Nylstroom,Limpopo
Kgaganoko Primary School,Polokwane,Limpopo
Kgagatlou Secondary School,Polokwane,Limpopo
Kgagudi  Primary  School,Burgersfort,Limpopo
Kgahlanong Secondary School,Steelpoort,Limpopo
Kgakala Secondary,Groothoek,Limpopo
Kgakantshane Primary School,Burgersfort,Limpopo
Kgakgala Primary School,Mokamole,Limpopo
Kgakgathu High,Treves,Limpopo
Kgakoa Secondary School,Polokwane,Limpopo
Kgaladi Primary School,Marishane,Limpopo
Kgalagatsane Primary,Nzhelele West,Limpopo
Kgalaka Primary School,Sovenga,Limpopo
Kgalatlou Secondary School,Sekhukhune,Limpopo
Kgalema Sec School,Polokwane,Limpopo
Kgalushi Secondary School,Polokwane,Limpopo
Kgamanyana,Mokopane,Limpopo
Kgampi Primary School,Polokwane,Limpopo
Kgaola Senior Secondary School,Ohrichstad,Limpopo
Kgapane High School,Duiwelskloof,Limpopo
Kgaphola Matlala Secondary School,Greater Groblersdal,Limpopo
Kgarahara Secondary School,Polokwane,Limpopo
Kgaruthuthu Primary,Marishane,Limpopo
Kgatla Primary School,Polokwane,Limpopo
Kgaubotlhale Senior Secondary School,Mokamole,Limpopo
Kgebetli Primary,Senwabarwana,Limpopo
Kgerepi Secondary,Polokwane,Limpopo
Kgetedi Primary,Sekhukhune,Limpopo
Kgetsa   Primary    School,Polokwane,Limpopo
Kgoakari,Galekalakala,Limpopo
Kgobakanane Primary School,Molototsi,Limpopo
Kgobalale,Burgersfort,Limpopo
Kgobise Primary,Janefurse,Limpopo
Kgobokanang Senior Primary School,Polokwane,Limpopo
Kgoboko,Steelpoort,Limpopo
Kgobuki Primary School,Rebone,Limpopo
Kgoedi Primary School,Lefalane,Limpopo
Kgoka Primary School,Bakenberg,Limpopo
Kgoke High School,Polokwane,Limpopo
Kgokodibeng,Burgersfort,Limpopo
Kgokolo,Galebelo,Limpopo
Kgokong Primary School,Sovenga,Limpopo
Kgokonyane Secondary,Polokwane,Limpopo
Kgokwana Secondary School,Polokwane,Limpopo
Kgolakaleleme High,Kgapane,Limpopo
Kgolane Secondary,Burgersfort,Limpopo
Kgolodi,Rebone,Limpopo
Kgolokgotlha Secodary School,Polokwane,Limpopo
Kgoloko Senior Secondary School,Polokwane,Limpopo
Kgolouthwana,Polokwane,Limpopo
Kgomatau Primary School,Burgersfort,Limpopo
Kgomomokgalo,Seleka,Limpopo
Kgomontswere Primary School,Bakone,Limpopo
Kgomoshiakwena Primary School,Bakenberg,Limpopo
Kgomo-Tlou Primary,Marblehall,Limpopo
Kgoogo Primary School,Masemola,Limpopo
Kgopedi  Primary,Bakenberg,Limpopo
