name,region,province
Bolotwa Senior Primary School,Cofimvaba,Eastern Cape
Bomela Senior Secondary School,Idutywa,Eastern Cape
Bomeni Junior Secondary School,Ladyfrere,Eastern Cape
Bomvana Public School,Stutterheim,Eastern Cape
Bomvini Junior Secondary School,Tabankulu,Eastern Cape
Bomvini Senior Primary School,Libode,Eastern Cape
Bonda Junior Secondary School,Kokstad,Eastern Cape
Bonde Junior Secondary School,Willowvale,Eastern Cape
Bongiwe Senior Primary School,Sterkspruit,Eastern Cape
Bongokuhle Primary School,King Williams Town,Eastern Cape
Bongolethu High School,Ngqamakwe,Eastern Cape
Bongolethu Junior Primary School,Whittlesea,Eastern Cape
Bongolethu Senior Primary School,Willowvale,Eastern Cape
Bongoletu Junior Secondary School,Cofimvaba,Eastern Cape
Bongolo Farm School,Queenstown,Eastern Cape
Bongweni Junior Secondary School,Port St Johns,Eastern Cape
Bongweni Primary School,Peddie,Eastern Cape
Boniswa Junior Secondary School,Indwe,Eastern Cape
Bonke Primary School,King Williams Town,Eastern Cape
Bonkolo High School,Idutywa,Eastern Cape
Bonthoek Farm School,Dordrecht,Eastern Cape
Bontrug Senior Primary School,Uitenhage,Eastern Cape
Bonus Senior Primary School,Tsomo,Eastern Cape
Bonxa High School,Ntabankulu,Eastern Cape
Bonxa Primary School,Ntabankulu,Eastern Cape
Booysen Park Primary,Port Elizabeth,Eastern Cape
Booysen Park Secondary School,Gelvandale,Eastern Cape
Boplaas Ngk Primary School,Kareedouw,Eastern Cape
Boqo Junior Secondary School,Queenstown,Eastern Cape
Bosfontein Primary School,Gelvandale,Eastern Cape
Botha Sigcau Senior Secondary School,Lusikisiki,Eastern Cape
Botsabelo Junior Secondary School,Maclear,Eastern Cape
Bottoman Junior Secondary School,Butterworth,Eastern Cape
Boundary Hill Primary School,Fort Beaufort,Eastern Cape
Bowden Junior Secondary School,Queenstown,Eastern Cape
Bozwana Junior Secondary School,Queenstown,Eastern Cape
Braamrivier Primary School,Jouberton,Eastern Cape
Braamspruit Farm School,Aliwal North,Eastern Cape
Bracefield U C C Primary School,Kommadagga,Eastern Cape
Braeside Primary School,East London,Eastern Cape
Brakkloof Primary School,Queenstown,Eastern Cape
Brandovale Primary School,Klipplaat,Eastern Cape
Breidbach Primary School,King Williams Town,Eastern Cape
Breidbach Secondary School,King Williams Town,Eastern Cape
Brighton Farm School,Grahamstown,Eastern Cape
Bronville Primary School,Rietbron,Eastern Cape
Brooksnek Junior Secondary School,Mount Ayliff,Eastern Cape
Brooksnek Senior Secondary School,Mount Ayliff,Eastern Cape
Brownlee Junior Primary School,King Williams Town,Eastern Cape
Brylin,Port Elizabeth,Eastern Cape
Brylin Learning Centre,Port Elizabeth,Eastern Cape
Bubele High School,Queenstown,Eastern Cape
Bubesi Junior Secondary School,Matatiele,Eastern Cape
Buchule Tech High School,East London,Eastern Cape
Buckley Finiza Junior Secondary School,Flagstaff,Eastern Cape
Bucula Junior Secondary School,Libode,Eastern Cape
Buffalo Flats Primary School,East London,Eastern Cape
Buffalo Nek Junior Secondary School,Mount Frere,Eastern Cape
Buffalo Thorns Junior Secondary School,Queenstown,Eastern Cape
Buhlambo Junior Secondary School,Mfundisweni,Eastern Cape
Buhle Primary School,Balfour,Eastern Cape
Buhlebelizwe Junior Secondary School,Qumbu,Eastern Cape
Buje Junior Secondary School,Port St Johns,Eastern Cape
Bukazi Junior Secondary School,Flagstaff,Eastern Cape
Bula Junior Secondary School,Engcobo,Eastern Cape
Bulelani Senior Secondary School,Queenstown,Eastern Cape
Bulembu Primary School,King Williams Town,Eastern Cape
Bulhoek Primary School,Whittlesea,Eastern Cape
Bultfontein Gip,Kokstad,Eastern Cape
Bulube'S Junior Secondary School,Butterworth,Eastern Cape
Bulugha Primary School,East London,Eastern Cape
Bulumko Junior Primary School,Flagstaff,Eastern Cape
Bulumko Senior Primary School,East London,Eastern Cape
Bumbanani Primary School,King Williams Town,Eastern Cape
Bunene Junior Primary School,Qumbu,Eastern Cape
Bunga Junior Primary School,Willowvale,Eastern Cape
Bungeni Junior Secondary School,Mfundisweni,Eastern Cape
Bungu Junior Secondary School,Libode,Eastern Cape
Buntingville Junior Secondary School,Ngqeleni,Eastern Cape
Buntshentshe Primary School,Tabankulu,Eastern Cape
Burgersdorp High School,Burgersdorp,Eastern Cape
Burgersdorp Primary School,Burgersdorp,Eastern Cape
Burnshill Primary School,Keiskammahoek,Eastern Cape
Buru Junior Secondary School,Butterworth,Eastern Cape
